class,app,p,pf,qf,vf
1,2,0.0641,0.54326,0.83839,0.082004
1,2,0.063656,0.54191,0.83921,0.083036
1,2,0.063103,0.5379,0.84193,0.083718
1,2,0.06259,0.53517,0.84358,0.083036
1,2,0.062483,0.53422,0.84423,0.083271
1,2,0.033357,0.59865,0.78318,0.18715
1,2,0.062946,0.53767,0.84176,0.085562
1,2,0.063069,0.53569,0.84328,0.082049
1,2,0.064022,0.53814,0.84173,0.079182
1,2,0.064433,0.54059,0.84015,0.079832
1,2,0.064642,0.54103,0.83975,0.080122
1,2,0.064752,0.54204,0.8392,0.079284
1,2,0.064889,0.54646,0.83615,0.080232
1,2,0.064567,0.54191,0.83928,0.079937
1,2,0.063942,0.53853,0.84149,0.079878
1,2,0.063868,0.53775,0.84194,0.085432
1,2,0.063749,0.53744,0.84214,0.079036
1,2,0.063491,0.53987,0.8406,0.080137
1,2,0.06334,0.5485,0.8344,0.086622
1,2,0.06206,0.53543,0.84321,0.087421
1,2,0.062187,0.53576,0.8429,0.089821
1,2,0.06295,0.53869,0.84139,0.078596
1,2,0.062923,0.53864,0.84155,0.079412
1,2,0.063673,0.54262,0.83884,0.079839
1,2,0.06367,0.54419,0.83779,0.083076
1,2,0.063559,0.54215,0.83901,0.080131
1,2,0.063939,0.54183,0.83937,0.080256
1,2,0.064368,0.5423,0.83918,0.079882
1,2,0.064161,0.54361,0.83824,0.079082
1,2,0.063755,0.54103,0.83987,0.079297
1,2,0.063188,0.53796,0.84188,0.079685
1,2,0.062776,0.53508,0.84381,0.079343
1,2,0.062706,0.53385,0.84447,0.079085
1,2,0.062699,0.53317,0.84487,0.078179
1,2,0.061922,0.5282,0.84817,0.07771
1,2,0.050021,0.53601,0.71297,0.23617
1,2,0.061928,0.5349,0.84386,0.077411
1,2,0.063756,0.54555,0.83704,0.078625
1,2,0.064167,0.54835,0.83509,0.078763
1,2,0.064104,0.5491,0.8347,0.078738
1,2,0.064043,0.54815,0.83537,0.079065
1,2,0.063827,0.54737,0.83581,0.079012
1,2,0.063466,0.54616,0.83658,0.079155
1,2,0.06365,0.54723,0.83587,0.078902
1,2,0.063497,0.54274,0.83884,0.078566
1,2,0.063308,0.54,0.84058,0.077777
1,2,0.062487,0.53403,0.84447,0.077392
1,2,0.062333,0.53244,0.84548,0.077239
1,2,0.061528,0.53193,0.84584,0.07711
1,2,0.053178,0.56221,0.70627,0.22217
1,2,0.060578,0.52477,0.85005,0.074945
1,2,0.063796,0.53966,0.84073,0.077787
1,2,0.063997,0.55083,0.83371,0.078882
1,2,0.064255,0.55375,0.83154,0.078648
1,2,0.064727,0.55468,0.83094,0.07912
1,2,0.064867,0.55764,0.82891,0.079267
1,2,0.065053,0.56185,0.82592,0.080306
1,2,0.064985,0.55725,0.82916,0.080073
1,2,0.064612,0.55633,0.82977,0.078478
1,2,0.064557,0.55548,0.83034,0.079773
1,2,0.064267,0.55216,0.83259,0.078845
1,2,0.064308,0.55106,0.83326,0.079039
1,2,0.064047,0.54845,0.83497,0.079271
1,2,0.063501,0.54322,0.8385,0.07924
1,2,0.062881,0.53843,0.84156,0.078765
1,2,0.062593,0.53878,0.84129,0.078789
1,2,0.061453,0.54453,0.83693,0.080625
1,2,0.060527,0.54715,0.80613,0.12112
1,2,0.062992,0.53215,0.84543,0.081525
1,2,0.06503,0.54475,0.8374,0.081504
1,2,0.065611,0.5576,0.82883,0.082545
1,2,0.065717,0.55904,0.82787,0.082216
1,2,0.065978,0.55611,0.82981,0.082269
1,2,0.066039,0.55091,0.83329,0.08236
1,2,0.066104,0.55129,0.833,0.082322
1,2,0.06577,0.56754,0.82198,0.083193
1,2,0.065486,0.57301,0.81808,0.08386
1,2,0.065091,0.56984,0.82042,0.083334
1,2,0.064682,0.55832,0.82834,0.082235
1,2,0.064331,0.55526,0.83042,0.082571
1,2,0.063982,0.55458,0.83088,0.081746
1,2,0.063886,0.55496,0.83061,0.08136
1,2,0.06324,0.56003,0.82718,0.081726
1,2,0.062536,0.5587,0.82807,0.081651
1,2,0.061803,0.55342,0.83162,0.081588
1,2,0.061301,0.55165,0.83285,0.08138
1,2,0.074028,0.56953,0.77532,0.13182
1,2,0.061719,0.5508,0.83338,0.079077
1,2,0.063385,0.56132,0.82633,0.080322
1,2,0.064521,0.55297,0.83206,0.079101
1,2,0.06502,0.55186,0.83275,0.079376
1,2,0.064965,0.55224,0.83248,0.079312
1,2,0.06481,0.54188,0.83934,0.08003
1,2,0.064862,0.53689,0.84253,0.080209
1,2,0.064349,0.54129,0.83974,0.080074
1,2,0.064094,0.54781,0.83545,0.079739
1,2,0.063534,0.54446,0.83762,0.079838
1,2,0.063145,0.54092,0.8399,0.079348
1,2,0.062557,0.53698,0.84245,0.079328
1,2,0.062271,0.53473,0.84396,0.078858
1,2,0.051942,0.55686,0.8229,0.11592
1,2,0.05413,0.55251,0.7379,0.19089
1,2,0.061876,0.53161,0.84587,0.07818
1,2,0.063429,0.53988,0.8407,0.078272
1,2,0.064013,0.54021,0.84047,0.078252
1,2,0.064589,0.54329,0.83848,0.078604
1,2,0.064596,0.54207,0.83921,0.078437
1,2,0.06426,0.53984,0.84058,0.078469
1,2,0.063925,0.53698,0.84249,0.077972
1,2,0.063805,0.53394,0.84452,0.07744
1,2,0.063141,0.53636,0.84297,0.078031
1,2,0.063091,0.53825,0.84184,0.078035
1,2,0.062759,0.53572,0.84333,0.078072
1,2,0.062311,0.53321,0.84493,0.078227
1,2,0.052352,0.53583,0.62842,0.36455
1,2,0.061692,0.53132,0.84619,0.075382
1,2,0.063965,0.54619,0.83661,0.077817
1,2,0.064507,0.54999,0.83397,0.07824
1,2,0.064676,0.55548,0.83037,0.077914
1,2,0.064355,0.55468,0.83119,0.079105
1,2,0.064131,0.55218,0.83232,0.079954
1,2,0.064128,0.55219,0.83244,0.079451
1,2,0.064171,0.55253,0.83233,0.078717
1,2,0.063914,0.55097,0.83339,0.080231
1,2,0.063493,0.54897,0.8346,0.080808
1,2,0.062717,0.54327,0.83837,0.078485
1,2,0.062678,0.54761,0.83539,0.077815
1,2,0.06208,0.54329,0.83854,0.078002
1,2,0.03246,0.6,0.77729,0.21633
1,2,0.063485,0.55325,0.83156,0.079893
1,2,0.06371,0.55309,0.83191,0.080802
1,2,0.064535,0.55639,0.82966,0.08149
1,2,0.065181,0.5606,0.82669,0.081693
1,2,0.065365,0.56134,0.82633,0.081545
1,2,0.065611,0.56095,0.82647,0.081551
1,2,0.065421,0.56429,0.82432,0.08142
1,2,0.065093,0.56251,0.82555,0.081423
1,2,0.064804,0.56146,0.82622,0.081467
1,2,0.064482,0.56022,0.8271,0.081443
1,2,0.064257,0.56277,0.82539,0.082105
1,2,0.063878,0.5593,0.82782,0.082599
1,2,0.063598,0.55658,0.82959,0.080126
1,2,0.062983,0.55013,0.83402,0.080205
1,2,0.062517,0.54895,0.83471,0.079415
1,2,0.062027,0.54816,0.83526,0.078705
1,2,0.03504,0.60192,0.78557,0.19228
1,2,0.066524,0.5876,0.80485,0.092897
1,2,0.059515,0.5489,0.83444,0.087737
1,2,0.060755,0.55659,0.82933,0.088952
1,2,0.067229,0.56675,0.82253,0.082159
1,2,0.066883,0.56496,0.82376,0.082225
1,2,0.067074,0.56786,0.8216,0.082422
1,2,0.067256,0.56633,0.82278,0.082242
1,2,0.0675,0.56863,0.82125,0.081507
1,2,0.067889,0.57078,0.81953,0.086508
1,2,0.067814,0.56978,0.82029,0.081796
1,2,0.067698,0.57036,0.82001,0.081955
1,2,0.067552,0.57008,0.82025,0.082266
1,2,0.067396,0.57136,0.8194,0.081525
1,2,0.067719,0.57466,0.81702,0.081139
1,2,0.067671,0.57344,0.81797,0.081319
1,2,0.067795,0.57423,0.81744,0.081729
1,2,0.067291,0.57187,0.81906,0.080762
1,2,0.06726,0.57134,0.81936,0.081419
1,2,0.066988,0.5719,0.81913,0.081252
1,2,0.067348,0.57269,0.81843,0.081647
1,2,0.067402,0.57071,0.81975,0.081416
1,2,0.067265,0.57016,0.82017,0.081734
1,2,0.067145,0.56934,0.82061,0.081371
1,2,0.066722,0.56664,0.8226,0.081301
1,2,0.06696,0.56691,0.82248,0.081341
1,2,0.066862,0.56732,0.82217,0.080949
1,2,0.066826,0.56657,0.82266,0.080872
1,2,0.066458,0.5644,0.82413,0.08142
1,2,0.06623,0.56252,0.82536,0.081568
1,2,0.065937,0.5608,0.82666,0.081823
